AGE 16-64,,Jan 2004-Dec 2004,,,,Jan 2005-Dec 2005,,,,Jan 2006-Dec 2006,,,,Jan 2007-Dec 2007,,,,Jan 2008-Dec 2008,,,,Jan 2009-Dec 2009,,,,Jan 2010-Dec 2010,,,,Jan 2011-Dec 2011,,,,Jan 2012-Dec 2012,,,,Jan 2013-Dec 2013,,,,Jan 2014-Dec 2014,,,,Jan 2015-Dec 2015,,,,Jan 2016-Dec 2016,,,,Jan 2017-Dec 2017,,,,Jan 2018-Dec 2018,,,,Jan 2019-Dec 2019,,,
Code,Area,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000030,Tower Hamlets,"78,300","147,100",53.2,3.5,"85,500","149,200",57.3,3.7,"81,900","154,100",53.1,3.8,"89,400","161,100",55.5,4.0,"103,300","168,700",61.2,3.7,"105,100","176,600",59.5,4.0,"111,400","182,300",61.1,3.8,"112,900","188,100",60.0,3.6,"118,300","192,500",61.5,3.8,"126,400","200,100",63.2,3.8,"142,900","208,700",68.5,3.7,"152,700","216,900",70.4,3.7,"154,500","223,100",69.3,4.2,"142,500","229,200",62.2,4.3,"168,000","230,300",72.9,4.5,"168,200","235,600",71.4,4.4
E09000031,Waltham Forest,"93,700","150,800",62.1,3.8,"100,500","151,600",66.3,3.7,"104,400","156,000",66.9,4.0,"106,400","160,100",66.5,4.1,"105,100","163,900",64.2,4.0,"109,900","168,500",65.2,4.1,"111,200","174,000",63.9,3.8,"120,900","178,300",67.8,3.7,"120,500","177,900",67.7,3.9,"126,500","178,800",70.8,3.9,"122,200","178,800",68.3,4.3,"134,600","184,000",73.2,4.5,"139,100","185,900",74.8,4.3,"144,700","185,400",78.1,3.7,"146,000","186,700",78.2,3.9,"140,600","188,900",74.4,4.6
E09000032,Wandsworth,"156,300","206,400",75.7,3.2,"152,200","209,200",72.8,3.9,"152,800","214,300",71.3,4.0,"160,100","216,600",73.9,4.0,"168,100","219,500",76.6,3.7,"173,100","222,900",77.6,3.7,"160,900","222,100",72.5,4.0,"169,700","224,900",75.5,3.9,"168,600","226,400",74.5,3.7,"167,700","225,600",74.3,4.0,"178,700","225,000",79.4,3.6,"178,900","227,700",78.6,3.6,"185,800","231,700",80.2,3.8,"184,900","231,600",79.8,3.9,"188,500","234,000",80.6,3.7,"189,800","235,800",80.5,3.9
E09000033,Westminster,"100,100","158,000",63.4,3.7,"103,000","162,600",63.3,3.7,"104,000","167,600",62.0,3.8,"104,900","166,800",62.9,3.5,"100,800","161,300",62.5,3.5,"105,300","158,100",66.6,4.0,"97,300","157,400",61.8,4.5,"102,000","162,200",62.9,3.8,"106,000","164,500",64.4,3.6,"109,700","164,300",66.7,3.5,"111,900","168,300",66.5,3.5,"113,300","172,500",65.7,3.9,"117,100","173,200",67.6,3.9,"113,600","171,700",66.1,4.2,"117,600","172,500",68.2,4.6,"122,800","172,200",71.3,4.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,"1,319,500","2,065,000",63.9,1.0,"1,353,300","2,104,100",64.3,1.1,"1,368,500","2,135,900",64.1,1.1,"1,420,900","2,175,300",65.3,1.0,"1,479,700","2,215,400",66.8,1.0,"1,494,300","2,260,200",66.1,1.1,"1,499,300","2,294,300",65.4,1.1,"1,535,300","2,348,100",65.4,1.1,"1,575,300","2,369,300",66.5,1.1,"1,628,200","2,397,900",67.9,1.0,"1,725,800","2,436,800",70.8,1.0,"1,800,200","2,489,400",72.3,1.0,"1,855,900","2,541,200",73.0,1.1,"1,888,000","2,576,100",73.3,1.1,"1,894,600","2,567,600",73.8,1.1,"1,943,300","2,591,500",75.0,1.2
E13000002,Outer London,"2,114,200","2,974,100",71.1,0.9,"2,123,200","3,008,300",70.6,0.9,"2,159,900","3,047,600",70.9,0.9,"2,187,400","3,086,700",70.9,0.9,"2,219,700","3,136,100",70.8,0.9,"2,201,300","3,183,300",69.2,0.9,"2,219,900","3,229,700",68.7,0.9,"2,252,700","3,282,400",68.6,0.9,"2,291,700","3,300,200",69.4,0.9,"2,349,900","3,324,000",70.7,0.9,"2,402,500","3,351,400",71.7,0.9,"2,481,800","3,383,300",73.4,0.9,"2,554,800","3,441,500",74.2,0.9,"2,593,200","3,480,800",74.5,0.9,"2,580,400","3,456,500",74.7,0.9,"2,578,100","3,477,800",74.1,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"1,104,100","1,621,100",68.1,0.6,"1,124,900","1,630,300",69.0,0.7,"1,129,000","1,639,200",68.9,0.8,"1,148,700","1,650,800",69.6,0.8,"1,136,800","1,658,100",68.6,0.8,"1,101,400","1,661,600",66.3,0.8,"1,103,500","1,667,000",66.2,0.8,"1,083,200","1,668,600",64.9,0.8,"1,093,900","1,658,100",66.0,0.8,"1,097,100","1,654,600",66.3,0.8,"1,129,200","1,651,100",68.4,0.8,"1,141,200","1,647,800",69.3,0.8,"1,161,000","1,648,500",70.4,0.9,"1,162,000","1,646,100",70.6,0.9,"1,167,700","1,641,300",71.1,0.9,"1,154,500","1,637,100",70.5,0.9
E12000002,North West,"3,075,300","4,356,800",70.6,0.5,"3,098,000","4,390,000",70.6,0.5,"3,126,500","4,427,100",70.6,0.5,"3,140,300","4,457,200",70.5,0.5,"3,106,200","4,477,600",69.4,0.6,"3,059,000","4,490,600",68.1,0.6,"3,102,100","4,507,000",68.8,0.6,"3,087,600","4,521,000",68.3,0.6,"3,096,300","4,500,300",68.8,0.6,"3,088,600","4,485,100",68.9,0.6,"3,102,400","4,478,000",69.3,0.6,"3,195,800","4,487,500",71.2,0.6,"3,206,400","4,480,500",71.6,0.6,"3,272,600","4,480,200",73.0,0.6,"3,319,100","4,498,500",73.8,0.6,"3,347,500","4,494,800",74.5,0.6
